Name of Painter,Subject of Painting,Style,Medium,Size,Frame,Location,Price ($),Delivery (days),Shipment,Color Palette,Copy or Original,Print or Real,Recommended Environment,Mood/Atmosphere,Theme/Lighting Requirements,Reproduction Type,Target Audience
Pablo,Landscape,Cubism,Oil,"20""x30""",No,Miami,404,8,Standard,Cool Tones,Copy,Real,Kid Room,Relaxing,Dim Light,Screen Print,Young Professionals
Noah,Seascape,Cubism,Watercolor,"16""x20""",No,Miami,179,9,Standard,Neutral Tones,Original,Real,Kid Room,Energetic,Bright Light,Fine Art Print,Families
Claude,Seascape,Cubism,Charcoal,"30""x40""",No,Toronto,396,6,Free Shipping,Earthy Tones,Copy,Print,Gallery,Reflective,Bright Light,Giclée,Corporate Clients
Pablo,Portrait,Realism,Charcoal,"16""x20""",Yes,Los Angeles,704,4,Free Shipping,Oceanic Tones,Copy,Real,Kid Room,Calming,Bright Light,N/A,Art Collectors
Noah,Abstract,Modern,Charcoal,"24""x36""",No,Miami,840,9,Standard,Warm Tones,Original,Real,Gallery,Reflective,Bright Light,Giclée,Interior Designers
Frida,Portrait,Modern,Acrylic,"18""x24""",No,Chicago,368,7,Express,Warm Tones,Original,Real,Kid Room,Joyful,Bright Light,N/A,Interior Designers
Jija,Fantasy,Realism,Watercolor,"24""x36""",Yes,Montreal,294,4,Standard,Neutral Tones,Copy,Print,Office,Calming,Natural Light,Lithograph,Corporate Clients
Claude,Seascape,Modern,Acrylic,"16""x20""",Yes,Chicago,719,4,Free Shipping,Earthy Tones,Original,Real,Gallery,Reflective,Natural Light,Lithograph,Interior Designers
Pablo,Abstract,Impressionism,Watercolor,"18""x24""",Yes,Chicago,879,8,Standard,Neutral Tones,Original,Real,Office,Relaxing,Natural Light,Lithograph,Interior Designers
Olivia,Portrait,Modern,Mixed Media,"30""x40""",Yes,Los Angeles,707,8,Express,Warm Tones,Copy,Real,Office,Relaxing,Bright Light,Screen Print,Corporate Clients
Frida,Fantasy,Surrealism,Watercolor,"18""x24""",No,New York,731,4,Express,Earthy Tones,Copy,Real,Bedroom,Reflective,Natural Light,N/A,Young Professionals
Pablo,Fantasy,Modern,Charcoal,"24""x36""",Yes,Vancouver,344,4,Standard,Warm Tones,Original,Print,Living Room,Relaxing,Natural Light,Lithograph,Corporate Clients
Leonardo,Fantasy,Impressionism,Watercolor,"18""x24""",Yes,Los Angeles,344,9,Express,Cool Tones,Original,Real,Bedroom,Joyful,Dim Light,Lithograph,Art Collectors
Liam,Wildlife,Surrealism,Charcoal,"24""x36""",No,New York,231,8,Express,Earthy Tones,Original,Print,Gallery,Calming,Natural Light,Giclée,Young Professionals
Liam,Abstract,Cubism,Charcoal,"20""x30""",Yes,Toronto,157,4,Express,Warm Tones,Copy,Print,Kid Room,Joyful,Natural Light,Screen Print,Corporate Clients
Emma,Seascape,Cubism,Mixed Media,"16""x20""",Yes,Toronto,404,10,Standard,Cool Tones,Original,Print,Living Room,Relaxing,Dim Light,N/A,Families
Claude,Abstract,Impressionism,Charcoal,"16""x20""",No,New York,680,7,Express,Neutral Tones,Original,Print,Bedroom,Energetic,Natural Light,Lithograph,Interior Designers
Claude,Landscape,Cubism,Mixed Media,"18""x24""",No,Vancouver,539,3,Express,Earthy Tones,Original,Print,Living Room,Energetic,Bright Light,Screen Print,Art Collectors
Vincent,Abstract,Modern,Watercolor,"24""x36""",Yes,Toronto,149,3,Free Shipping,Oceanic Tones,Original,Real,Kid Room,Joyful,Dim Light,N/A,Art Collectors
Vincent,Landscape,Surrealism,Acrylic,"24""x36""",Yes,Chicago,785,6,Free Shipping,Warm Tones,Copy,Print,Gallery,Reflective,Dim Light,Giclée,Art Collectors
Olivia,Landscape,Surrealism,Mixed Media,"16""x20""",Yes,Los Angeles,368,8,Free Shipping,Cool Tones,Copy,Real,Kid Room,Calming,Dim Light,Lithograph,Art Collectors
Jija,Abstract,Realism,Watercolor,"20""x30""",Yes,Montreal,663,3,Free Shipping,Oceanic Tones,Original,Print,Living Room,Joyful,Dim Light,Giclée,Interior Designers
Vincent,Seascape,Surrealism,Charcoal,"18""x24""",No,Los Angeles,868,8,Express,Earthy Tones,Copy,Print,Bedroom,Calming,Dim Light,Screen Print,Art Collectors
Leonardo,Seascape,Abstract Expressionism,Acrylic,"30""x40""",Yes,Toronto,771,8,Express,Earthy Tones,Original,Real,Kid Room,Reflective,Dim Light,Lithograph,Interior Designers
Liam,Landscape,Abstract Expressionism,Mixed Media,"30""x40""",Yes,Vancouver,459,6,Standard,Neutral Tones,Original,Print,Gallery,Relaxing,Natural Light,N/A,Art Collectors
Liam,Wildlife,Surrealism,Acrylic,"30""x40""",Yes,Los Angeles,890,3,Express,Oceanic Tones,Original,Real,Kid Room,Calming,Natural Light,Screen Print,Families
Ava,Landscape,Surrealism,Mixed Media,"30""x40""",No,Montreal,965,10,Free Shipping,Neutral Tones,Copy,Print,Living Room,Calming,Bright Light,Giclée,Young Professionals
Leonardo,Seascape,Abstract Expressionism,Mixed Media,"20""x30""",No,Vancouver,699,10,Express,Earthy Tones,Original,Real,Bedroom,Calming,Natural Light,Giclée,Interior Designers
Leonardo,Still Life,Impressionism,Charcoal,"20""x30""",No,Chicago,696,10,Standard,Earthy Tones,Copy,Real,Kid Room,Calming,Natural Light,N/A,Corporate Clients
Ava,Seascape,Modern,Oil,"30""x40""",Yes,Vancouver,956,9,Express,Cool Tones,Original,Print,Gallery,Reflective,Dim Light,Screen Print,Families
Ava,Abstract,Cubism,Charcoal,"30""x40""",No,Los Angeles,774,4,Free Shipping,Neutral Tones,Original,Real,Bedroom,Joyful,Dim Light,Giclée,Families
Leonardo,Wildlife,Modern,Watercolor,"16""x20""",Yes,Toronto,956,9,Free Shipping,Neutral Tones,Copy,Real,Living Room,Calming,Bright Light,Screen Print,Interior Designers
Ava,Landscape,Cubism,Acrylic,"20""x30""",No,Miami,707,7,Standard,Earthy Tones,Original,Real,Bedroom,Energetic,Bright Light,Giclée,Interior Designers
Frida,Abstract,Surrealism,Oil,"24""x36""",No,Toronto,794,3,Free Shipping,Oceanic Tones,Copy,Real,Living Room,Reflective,Dim Light,N/A,Art Collectors
Vincent,Seascape,Surrealism,Mixed Media,"24""x36""",Yes,Miami,707,9,Standard,Cool Tones,Original,Print,Gallery,Joyful,Bright Light,Lithograph,Corporate Clients
Claude,Seascape,Abstract Expressionism,Oil,"16""x20""",Yes,Calgary,731,8,Free Shipping,Neutral Tones,Original,Real,Living Room,Relaxing,Bright Light,Lithograph,Art Collectors
Liam,Abstract,Realism,Mixed Media,"30""x40""",No,Chicago,782,4,Express,Oceanic Tones,Original,Real,Gallery,Relaxing,Dim Light,Lithograph,Young Professionals
Jija,Still Life,Surrealism,Watercolor,"16""x20""",Yes,Montreal,231,3,Free Shipping,Earthy Tones,Original,Print,Gallery,Joyful,Dim Light,Screen Print,Art Collectors
Ava,Fantasy,Surrealism,Watercolor,"24""x36""",No,New York,272,4,Free Shipping,Warm Tones,Copy,Print,Bedroom,Energetic,Natural Light,Screen Print,Interior Designers
Olivia,Wildlife,Impressionism,Oil,"24""x36""",No,Montreal,348,6,Standard,Warm Tones,Copy,Print,Office,Relaxing,Bright Light,Screen Print,Art Collectors
Pablo,Still Life,Abstract Expressionism,Watercolor,"30""x40""",Yes,New York,171,7,Free Shipping,Oceanic Tones,Copy,Print,Kid Room,Reflective,Bright Light,Lithograph,Families
Liam,Wildlife,Realism,Mixed Media,"18""x24""",No,Toronto,404,7,Free Shipping,Oceanic Tones,Original,Real,Kid Room,Reflective,Dim Light,Fine Art Print,Interior Designers
Emma,Landscape,Realism,Oil,"18""x24""",No,Los Angeles,918,6,Express,Oceanic Tones,Original,Real,Bedroom,Calming,Dim Light,N/A,Corporate Clients
Olivia,Abstract,Surrealism,Oil,"18""x24""",Yes,Montreal,212,9,Standard,Warm Tones,Copy,Print,Office,Calming,Natural Light,N/A,Young Professionals
Ava,Seascape,Surrealism,Acrylic,"24""x36""",No,Miami,149,3,Free Shipping,Cool Tones,Copy,Real,Bedroom,Energetic,Bright Light,Giclée,Young Professionals
Olivia,Wildlife,Impressionism,Watercolor,"18""x24""",No,Los Angeles,794,8,Free Shipping,Warm Tones,Copy,Print,Gallery,Calming,Dim Light,Giclée,Art Collectors
Liam,Fantasy,Abstract Expressionism,Mixed Media,"30""x40""",No,Toronto,848,3,Express,Oceanic Tones,Original,Real,Bedroom,Calming,Dim Light,N/A,Families
Pablo,Still Life,Impressionism,Mixed Media,"20""x30""",No,Montreal,352,8,Free Shipping,Oceanic Tones,Original,Real,Living Room,Energetic,Dim Light,N/A,Art Collectors
Vincent,Abstract,Realism,Acrylic,"18""x24""",No,Vancouver,245,7,Express,Warm Tones,Copy,Real,Office,Calming,Natural Light,Giclée,Interior Designers
Ava,Seascape,Abstract Expressionism,Watercolor,"18""x24""",Yes,Chicago,840,5,Free Shipping,Earthy Tones,Original,Real,Bedroom,Reflective,Bright Light,N/A,Art Collectors
Claude,Landscape,Modern,Watercolor,"24""x36""",Yes,Montreal,909,3,Express,Warm Tones,Copy,Real,Living Room,Relaxing,Bright Light,N/A,Young Professionals
Olivia,Wildlife,Surrealism,Acrylic,"16""x20""",Yes,Miami,477,4,Standard,Cool Tones,Original,Real,Bedroom,Relaxing,Bright Light,Giclée,Art Collectors
Ava,Abstract,Cubism,Oil,"24""x36""",No,Chicago,956,4,Free Shipping,Earthy Tones,Original,Print,Gallery,Reflective,Bright Light,N/A,Corporate Clients
Vincent,Still Life,Realism,Acrylic,"18""x24""",Yes,Los Angeles,913,7,Free Shipping,Oceanic Tones,Copy,Real,Bedroom,Calming,Dim Light,N/A,Young Professionals
Olivia,Landscape,Impressionism,Watercolor,"18""x24""",Yes,New York,581,3,Standard,Cool Tones,Original,Print,Living Room,Joyful,Dim Light,Screen Print,Families
Vincent,Fantasy,Abstract Expressionism,Oil,"18""x24""",No,Miami,825,3,Express,Cool Tones,Original,Print,Living Room,Relaxing,Natural Light,N/A,Interior Designers
Leonardo,Still Life,Realism,Watercolor,"16""x20""",Yes,Montreal,657,8,Standard,Warm Tones,Copy,Print,Kid Room,Relaxing,Natural Light,Lithograph,Art Collectors
Vincent,Still Life,Modern,Mixed Media,"24""x36""",Yes,Calgary,853,4,Free Shipping,Neutral Tones,Copy,Real,Kid Room,Joyful,Natural Light,Screen Print,Families
Frida,Fantasy,Cubism,Oil,"30""x40""",Yes,Chicago,857,10,Express,Neutral Tones,Copy,Real,Living Room,Relaxing,Dim Light,Lithograph,Art Collectors
Jija,Abstract,Abstract Expressionism,Watercolor,"16""x20""",No,Montreal,857,4,Free Shipping,Warm Tones,Copy,Real,Living Room,Reflective,Dim Light,N/A,Art Collectors
Jija,Fantasy,Realism,Watercolor,"24""x36""",Yes,Montreal,683,3,Free Shipping,Earthy Tones,Original,Real,Living Room,Reflective,Dim Light,N/A,Corporate Clients
Jija,Abstract,Cubism,Watercolor,"30""x40""",Yes,Montreal,938,3,Free Shipping,Oceanic Tones,Original,Print,Kid Room,Calming,Bright Light,Lithograph,Young Professionals
Ava,Wildlife,Impressionism,Oil,"24""x36""",No,Toronto,933,6,Express,Neutral Tones,Original,Print,Gallery,Calming,Bright Light,Giclée,Young Professionals
Liam,Seascape,Realism,Watercolor,"24""x36""",No,New York,746,6,Free Shipping,Earthy Tones,Copy,Print,Office,Reflective,Dim Light,Giclée,Young Professionals
Noah,Portrait,Abstract Expressionism,Oil,"24""x36""",Yes,Los Angeles,943,9,Express,Earthy Tones,Copy,Print,Office,Calming,Natural Light,Screen Print,Corporate Clients
Jija,Still Life,Realism,Watercolor,"16""x20""",No,Montreal,657,10,Standard,Neutral Tones,Copy,Print,Gallery,Reflective,Natural Light,Giclée,Young Professionals
Liam,Seascape,Realism,Oil,"24""x36""",Yes,Montreal,975,3,Express,Cool Tones,Original,Print,Living Room,Calming,Natural Light,Giclée,Art Collectors
Pablo,Still Life,Abstract Expressionism,Acrylic,"24""x36""",Yes,Calgary,516,5,Standard,Neutral Tones,Original,Real,Living Room,Energetic,Natural Light,Giclée,Young Professionals
Pablo,Wildlife,Cubism,Oil,"16""x20""",Yes,Miami,127,8,Express,Earthy Tones,Copy,Real,Kid Room,Calming,Natural Light,Fine Art Print,Interior Designers
Pablo,Abstract,Modern,Mixed Media,"16""x20""",Yes,Chicago,640,7,Express,Neutral Tones,Original,Real,Office,Joyful,Bright Light,Screen Print,Young Professionals
Olivia,Abstract,Impressionism,Watercolor,"20""x30""",Yes,Montreal,404,7,Free Shipping,Oceanic Tones,Original,Print,Living Room,Relaxing,Dim Light,Screen Print,Art Collectors
Jija,Seascape,Cubism,Watercolor,"20""x30""",No,Montreal,384,9,Free Shipping,Earthy Tones,Original,Real,Office,Relaxing,Natural Light,N/A,Families
Noah,Portrait,Abstract Expressionism,Mixed Media,"30""x40""",Yes,Montreal,891,5,Standard,Earthy Tones,Copy,Print,Living Room,Energetic,Bright Light,Lithograph,Interior Designers
Claude,Fantasy,Abstract Expressionism,Oil,"16""x20""",No,Montreal,715,4,Express,Warm Tones,Copy,Print,Kid Room,Joyful,Dim Light,Screen Print,Corporate Clients
Emma,Still Life,Modern,Watercolor,"18""x24""",No,Los Angeles,368,3,Express,Oceanic Tones,Original,Real,Office,Calming,Bright Light,Giclée,Young Professionals
Emma,Fantasy,Impressionism,Charcoal,"20""x30""",No,Miami,649,6,Express,Earthy Tones,Copy,Print,Gallery,Reflective,Dim Light,Screen Print,Interior Designers
Pablo,Fantasy,Cubism,Oil,"16""x20""",Yes,Los Angeles,924,3,Standard,Oceanic Tones,Copy,Print,Living Room,Reflective,Natural Light,N/A,Interior Designers
Noah,Fantasy,Realism,Mixed Media,"24""x36""",No,Toronto,197,3,Free Shipping,Cool Tones,Original,Real,Gallery,Energetic,Natural Light,N/A,Interior Designers
Leonardo,Fantasy,Realism,Watercolor,"30""x40""",No,Los Angeles,965,10,Free Shipping,Warm Tones,Copy,Real,Living Room,Relaxing,Dim Light,Screen Print,Corporate Clients
Frida,Seascape,Surrealism,Oil,"30""x40""",No,Calgary,179,6,Free Shipping,Oceanic Tones,Original,Real,Gallery,Energetic,Bright Light,Screen Print,Corporate Clients
Liam,Landscape,Realism,Mixed Media,"18""x24""",Yes,Chicago,396,10,Express,Neutral Tones,Copy,Print,Bedroom,Relaxing,Natural Light,Giclée,Young Professionals
Claude,Still Life,Abstract Expressionism,Watercolor,"16""x20""",No,Montreal,891,8,Standard,Earthy Tones,Original,Print,Office,Energetic,Natural Light,Screen Print,Young Professionals
Noah,Landscape,Abstract Expressionism,Mixed Media,"30""x40""",Yes,Chicago,157,8,Express,Earthy Tones,Copy,Print,Living Room,Reflective,Natural Light,Lithograph,Families
Ava,Landscape,Surrealism,Mixed Media,"20""x30""",No,Vancouver,528,7,Free Shipping,Earthy Tones,Original,Print,Living Room,Joyful,Bright Light,Screen Print,Interior Designers
Noah,Fantasy,Modern,Acrylic,"16""x20""",No,New York,918,5,Standard,Neutral Tones,Original,Print,Gallery,Energetic,Bright Light,Giclée,Young Professionals
Pablo,Landscape,Impressionism,Acrylic,"18""x24""",No,Chicago,459,7,Express,Earthy Tones,Copy,Print,Gallery,Joyful,Dim Light,Screen Print,Interior Designers
Frida,Abstract,Impressionism,Charcoal,"30""x40""",No,Toronto,508,10,Free Shipping,Neutral Tones,Original,Print,Gallery,Energetic,Natural Light,Giclée,Art Collectors
Liam,Abstract,Abstract Expressionism,Mixed Media,"18""x24""",Yes,Los Angeles,234,10,Free Shipping,Cool Tones,Copy,Real,Kid Room,Reflective,Bright Light,Fine Art Print,Art Collectors
Jija,Landscape,Abstract Expressionism,Watercolor,"18""x24""",No,Montreal,868,4,Free Shipping,Oceanic Tones,Copy,Print,Bedroom,Calming,Natural Light,Giclée,Art Collectors
Jija,Seascape,Abstract Expressionism,Watercolor,"20""x30""",No,Montreal,161,4,Free Shipping,Earthy Tones,Copy,Print,Living Room,Relaxing,Natural Light,Giclée,Young Professionals
Frida,Landscape,Realism,Charcoal,"30""x40""",No,Calgary,348,10,Free Shipping,Warm Tones,Copy,Print,Gallery,Reflective,Dim Light,Giclée,Young Professionals
Vincent,Portrait,Realism,Charcoal,"30""x40""",No,Los Angeles,149,9,Standard,Cool Tones,Copy,Real,Office,Energetic,Natural Light,N/A,Families
Noah,Still Life,Realism,Charcoal,"16""x20""",No,Toronto,868,3,Standard,Neutral Tones,Original,Print,Bedroom,Energetic,Dim Light,Lithograph,Young Professionals
Frida,Seascape,Cubism,Charcoal,"30""x40""",Yes,Calgary,938,5,Free Shipping,Earthy Tones,Original,Print,Kid Room,Joyful,Bright Light,Lithograph,Art Collectors
Pablo,Fantasy,Surrealism,Mixed Media,"18""x24""",No,Chicago,965,6,Free Shipping,Neutral Tones,Original,Print,Office,Reflective,Bright Light,N/A,Corporate Clients
Vincent,Landscape,Modern,Acrylic,"24""x36""",Yes,New York,339,3,Standard,Neutral Tones,Original,Print,Bedroom,Reflective,Bright Light,Giclée,Families
Jija,Fantasy,Impressionism,Watercolor,"18""x24""",Yes,Montreal,581,3,Free Shipping,Neutral Tones,Original,Print,Gallery,Reflective,Dim Light,Giclée,Young Professionals
Vincent,Abstract,Realism,Oil,"30""x40""",No,New York,924,8,Free Shipping,Earthy Tones,Copy,Real,Gallery,Energetic,Dim Light,Screen Print,Corporate Clients
Emma,Seascape,Abstract Expressionism,Oil,"20""x30""",Yes,Miami,212,4,Express,Neutral Tones,Original,Print,Gallery,Reflective,Natural Light,Screen Print,Families
Noah,Fantasy,Impressionism,Watercolor,"18""x24""",No,Montreal,265,9,Standard,Warm Tones,Copy,Print,Office,Calming,Natural Light,Lithograph,Art Collectors
Vincent,Landscape,Surrealism,Watercolor,"16""x20""",Yes,Vancouver,774,3,Free Shipping,Neutral Tones,Original,Real,Kid Room,Energetic,Bright Light,N/A,Young Professionals
Ava,Still Life,Abstract Expressionism,Watercolor,"30""x40""",No,New York,197,7,Free Shipping,Cool Tones,Original,Real,Kid Room,Relaxing,Dim Light,N/A,Families
Claude,Wildlife,Abstract Expressionism,Oil,"20""x30""",No,Calgary,975,8,Express,Cool Tones,Original,Print,Gallery,Joyful,Dim Light,Screen Print,Art Collectors
Jija,Abstract,Modern,Watercolor,"20""x30""",Yes,Montreal,222,10,Standard,Neutral Tones,Original,Print,Bedroom,Calming,Dim Light,Lithograph,Young Professionals
Olivia,Still Life,Cubism,Mixed Media,"20""x30""",Yes,Los Angeles,299,5,Express,Oceanic Tones,Original,Real,Living Room,Joyful,Dim Light,Screen Print,Young Professionals
Pablo,Wildlife,Surrealism,Charcoal,"24""x36""",No,Miami,161,4,Standard,Oceanic Tones,Copy,Real,Kid Room,Relaxing,Bright Light,Screen Print,Young Professionals
Pablo,Abstract,Abstract Expressionism,Watercolor,"30""x40""",No,Los Angeles,879,5,Standard,Earthy Tones,Copy,Print,Office,Calming,Bright Light,N/A,Young Professionals
Ava,Still Life,Modern,Acrylic,"20""x30""",Yes,Miami,727,4,Standard,Oceanic Tones,Copy,Print,Office,Calming,Natural Light,Screen Print,Corporate Clients
Leonardo,Fantasy,Realism,Watercolor,"18""x24""",No,Calgary,352,10,Free Shipping,Warm Tones,Original,Print,Kid Room,Joyful,Bright Light,N/A,Art Collectors
Ava,Seascape,Realism,Charcoal,"18""x24""",No,Montreal,704,7,Free Shipping,Neutral Tones,Copy,Print,Living Room,Relaxing,Natural Light,Lithograph,Art Collectors
Jija,Still Life,Surrealism,Watercolor,"18""x24""",Yes,Montreal,558,9,Express,Earthy Tones,Original,Print,Living Room,Joyful,Dim Light,Lithograph,Art Collectors
Frida,Fantasy,Abstract Expressionism,Oil,"30""x40""",No,Calgary,774,3,Express,Warm Tones,Original,Real,Office,Calming,Dim Light,Giclée,Art Collectors
Ava,Portrait,Cubism,Oil,"18""x24""",No,Chicago,680,5,Standard,Cool Tones,Copy,Print,Bedroom,Calming,Bright Light,Giclée,Corporate Clients
Olivia,Landscape,Realism,Charcoal,"16""x20""",Yes,Los Angeles,794,5,Express,Oceanic Tones,Copy,Print,Office,Relaxing,Natural Light,N/A,Young Professionals
Vincent,Wildlife,Modern,Oil,"30""x40""",Yes,Miami,290,9,Free Shipping,Oceanic Tones,Original,Print,Office,Reflective,Bright Light,Giclée,Families
Jija,Portrait,Abstract Expressionism,Watercolor,"20""x30""",No,Montreal,605,3,Standard,Neutral Tones,Copy,Real,Kid Room,Reflective,Dim Light,N/A,Art Collectors
Claude,Landscape,Modern,Oil,"16""x20""",No,Vancouver,157,9,Standard,Cool Tones,Original,Print,Office,Calming,Bright Light,Screen Print,Corporate Clients
Vincent,Wildlife,Realism,Oil,"30""x40""",Yes,Los Angeles,450,6,Free Shipping,Neutral Tones,Original,Real,Office,Joyful,Natural Light,N/A,Corporate Clients
Pablo,Abstract,Impressionism,Watercolor,"30""x40""",No,Montreal,640,4,Free Shipping,Earthy Tones,Copy,Print,Office,Reflective,Bright Light,Screen Print,Art Collectors
Ava,Still Life,Surrealism,Watercolor,"20""x30""",Yes,Chicago,715,3,Standard,Warm Tones,Copy,Real,Kid Room,Calming,Dim Light,Fine Art Print,Young Professionals
Jija,Still Life,Realism,Watercolor,"30""x40""",No,Montreal,938,4,Standard,Cool Tones,Copy,Print,Office,Joyful,Natural Light,Giclée,Interior Designers
Jija,Portrait,Impressionism,Watercolor,"16""x20""",No,Montreal,245,10,Standard,Warm Tones,Original,Print,Office,Relaxing,Dim Light,N/A,Interior Designers
Claude,Fantasy,Abstract Expressionism,Watercolor,"16""x20""",No,Chicago,727,3,Express,Neutral Tones,Copy,Print,Bedroom,Joyful,Bright Light,Screen Print,Families
Noah,Portrait,Surrealism,Acrylic,"20""x30""",Yes,Vancouver,644,10,Standard,Warm Tones,Copy,Real,Gallery,Relaxing,Natural Light,Lithograph,Young Professionals
